Collection,Volume (7d),Sales (7d),⏷  Volume (All Time),Sales (All Time),Avg Price (7d),Total Supply,Owners,Owners%,Estimated Market Cap,Added,Compound Score,Positive Score,Neutral Score,Negative Score
Sad Frogs District,0.04 ETH,12,"2,319.58 ETH",9072,0.00 ETH,6993,2156,30.83%,21.56 ETH,2021/08/12,,,,
BYOPills,28.83 ETH,116,"2,285.62 ETH",11748,0.25 ETH,9998,3436,34.37%,"2,484.94 ETH",2021/07/16,,,,
Visitors of Imma Degen,11.32 ETH,58,"2,242.70 ETH",10945,0.20 ETH,9999,2686,26.86%,"1,951.38 ETH",2021/07/03,,,,
Monaco Planet Yacht,152.86 ETH,678,"2,235.59 ETH",10842,0.23 ETH,9999,5014,50.15%,"2,254.33 ETH",2021/12/01,,,,
GOATz,25.15 ETH,184,"2,212.27 ETH",14342,0.14 ETH,7694,2904,37.74%,"1,051.48 ETH",2021/07/09,,,,
KingFrogs,10.74 ETH,142,"2,169.88 ETH",8014,0.08 ETH,17013,5148,30.26%,"1,286.81 ETH",2021/10/04,,,,
Society of Derivative Apes,90.48 ETH,712,"2,169.08 ETH",12959,0.13 ETH,9998,5546,55.47%,"1,270.49 ETH",2021/12/01,,,,
ALPACADABRAZ,28.73 ETH,184,"2,167.54 ETH",6990,0.16 ETH,9669,3071,31.76%,"1,509.87 ETH",2021/10/26,,,,
SympathyForTheDevils,2.17 ETH,22,"2,134.85 ETH",7935,0.10 ETH,5762,2137,37.09%,567.11 ETH,2021/08/21,,,,
JunkYard Dogs,2.63 ETH,44,"2,108.01 ETH",9358,0.06 ETH,7976,3338,41.85%,476.50 ETH,2021/08/14,,,,
Gutter Dogs,139.61 ETH,110,"2,098.43 ETH",1388,1.27 ETH,2884,1907,66.12%,"3,660.22 ETH",2021/10/06,,,,
The Alien Boy,2.72 ETH,37,"2,080.27 ETH",14035,0.07 ETH,10000,3637,36.37%,732.29 ETH,2021/06/20,,,,
Crypto Pills by Micha Klein,6.56 ETH,52,"2,066.91 ETH",7128,0.13 ETH,9999,2232,22.32%,"1,252.93 ETH",2021/09/03,,,,
uwucrew,5.62 ETH,45,"2,054.85 ETH",10397,0.12 ETH,9670,2696,27.88%,"1,207.48 ETH",2021/09/08,,,,
Chiptos,0.89 ETH,1,"2,042.90 ETH",929,0.95 ETH,512,288,56.25%,483.84 ETH,2021/08/30,,,,
BearXLabs,59.48 ETH,162,"2,040.89 ETH",4332,0.37 ETH,3700,1605,43.38%,"1,359.76 ETH",2021/11/06,,,,
Playboy Rabbitars Official,68.61 ETH,287,"2,013.92 ETH",6257,0.24 ETH,11953,5036,42.13%,"2,857.39 ETH",2021/11/17,,,,
Paladin Pandas,5.95 ETH,87,"1,960.31 ETH",8942,0.07 ETH,9849,3001,30.47%,663.21 ETH,2021/09/30,,,,
FusionApes,4.99 ETH,32,"1,909.60 ETH",5111,0.16 ETH,4201,1716,40.85%,654.66 ETH,2021/09/10,,,,
